,Codes,Titles,Total Marketable US Businesses,code_len
18,541370,Surveying and Mapping (except Geophysical) Services,12965,6
19,541380,Testing Laboratories,13619,6
20,5414,Specialized Design Services,73888,4
21,541410,Interior Design Services,34832,6
22,541420,Industrial Design Services,1805,6
23,541430,Graphic Design Services,35456,6
24,541490,Other Specialized Design Services,1795,6
25,5415,Computer Systems Design and Related Services,201660,4
26,541511,Custom Computer Programming Services,107317,6
27,541512,Computer Systems Design Services,88191,6
28,541513,Computer Facilities Management Services,1141,6
29,541519,Other Computer Related Services,5011,6
30,5416,"Management, Scientific, and Technical Consulting Services",645890,4
31,541611,Administrative Management and General Management Consulting Services,185649,6
32,541612,Human Resources Consulting Services,14128,6
33,541613,Marketing Consulting Services,58521,6
34,541614,"Process, Physical Distribution, and Logistics Consulting Services",3185,6
35,541618,Other Management Consulting Services,318388,6
36,541620,Environmental Consulting Services,23240,6
37,541690,Other Scientific and Technical Consulting Services,42779,6
38,5417,Scientific Research and Development Services,43369,4
39,541713,Research and Development in Nanotechnology,0,6
40,541714,Research and Development in Biotechnology (except Nanobiotechnology),4471,6
41,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",23662,6
42,541720,Research and Development in the Social Sciences and Humanities,15236,6
43,5418,"Advertising, Public Relations, and Related Services",63431,4
44,541810,Advertising Agencies,23515,6
45,541820,Public Relations Agencies,16073,6
46,541830,Media Buying Agencies,778,6
47,541840,Media Representatives,3573,6
48,541850,Outdoor Advertising,2534,6
49,541860,Direct Mail Advertising,4880,6
50,541870,Advertising Material Distribution Services,1033,6
51,541890,Other Services Related to Advertising,11045,6
52,5419,"Other Professional, Scientific, and Technical Services",380645,4
53,541910,Marketing Research and Public Opinion Polling,12935,6
54,541921,"Photography Studios, Portrait",86616,6
55,541922,Commercial Photography,15989,6
56,541930,Translation and Interpretation Services,6081,6
57,541940,Veterinary Services,46845,6
58,541990,"All Other Professional, Scientific, and Technical Services",212179,6
0,55,Management of Companies and Enterprises,71170,2
1,5511,Management of Companies and Enterprises,71170,4
2,551111,Offices of Bank Holding Companies,2172,6
3,551112,Offices of Other Holding Companies,68998,6
4,551114,"Corporate, Subsidiary, and Regional Managing Offices",0,6
0,56,Administrative and Support and Waste Management and Remediation Services,1755832,2
1,5611,Office Administrative Services,153257,4
2,561110,Office Administrative Services,153257,6
3,5612,Facilities Support Services,4731,4
4,561210,Facilities Support Services,4731,6
5,5613,Employment Services,60885,4
6,561311,Employment Placement Agencies,31221,6
7,561312,Executive Search Services,8872,6
8,561320,Temporary Help Services,20198,6
9,561330,Professional Employer Organizations,594,6
10,5614,Business Support Services,224448,4
11,561410,Document Preparation Services,4182,6
12,561421,Telephone Answering Services,5675,6
13,561422,Telemarketing Bureaus and Other Contact Centers,1286,6
14,561431,Private Mail Centers,7372,6
15,561439,Other Business Service Centers (including Copy Shops),1317,6
16,561440,Collection Agencies,4840,6
17,561450,Credit Bureaus,1236,6
18,561491,Repossession Services,2043,6
19,561492,Court Reporting and Stenotype Services,6941,6
20,561499,All Other Business Support Services,189556,6
21,5615,Travel Arrangement and Reservation Services,60452,4
22,561510,Travel Agencies,45479,6
23,561520,Tour Operators,10284,6
24,561591,Convention and Visitors Bureaus,1264,6
25,561599,All Other Travel Arrangement and Reservation Services,3425,6
26,5616,Investigation and Security Services,56524,4
27,561611,Investigation Services,9844,6
28,561612,Security Guards and Patrol Services,17614,6
29,561613,Armored Car Services,3063,6
30,561621,Security Systems Services (except Locksmiths),15695,6
31,561622,Locksmiths,10308,6
32,5617,Services to Buildings and Dwellings,396154,4
33,561710,Exterminating and Pest Control Services,28060,6
34,561720,Janitorial Services,104731,6
35,561730,Landscaping Services,138756,6
36,561740,Carpet and Upholstery Cleaning Services,15761,6
37,561790,Other Services to Buildings and Dwellings,108846,6
38,5619,Other Support Services,754240,4
39,561910,Packaging and Labeling Services,2968,6
40,561920,Convention and Trade Show Organizers,3593,6
41,561990,All Other Support Services,747679,6
42,5621,Waste Collection,2375,4
43,562111,Solid Waste Collection,1845,6
44,562112,Hazardous Waste Collection,260,6
45,562119,Other Waste Collection,270,6
46,5622,Waste Treatment and Disposal,14351,4
47,562211,Hazardous Waste Treatment and Disposal,3808,6
48,562212,Solid Waste Landfill,6037,6
49,562213,Solid Waste Combustors and Incinerators,37,6
50,562219,Other Nonhazardous Waste Treatment and Disposal,4469,6
51,5629,Remediation and Other Waste Management Services,28415,4
52,562910,Remediation Services,2908,6
53,562920,Materials Recovery Facilities,11933,6
54,562991,Septic Tank and Related Services,12350,6
55,562998,All Other Miscellaneous Waste Management Services,1224,6
0,61,Educational Services,422162,2
1,6111,Elementary and Secondary Schools,213415,4
2,611110,Elementary and Secondary Schools,213415,6
3,6112,Junior Colleges,4988,4
4,611210,Junior Colleges,4988,6
5,6113,"Colleges, Universities, and Professional Schools",37550,4
6,611310,"Colleges, Universities, and Professional Schools",37550,6
7,6114,Business Schools and Computer and Management Training,5147,4
8,611410,Business and Secretarial Schools,899,6
9,611420,Computer Training,3885,6
10,611430,Professional and Management Development Training,363,6
11,6115,Technical and Trade Schools,13413,4
12,611511,Cosmetology and Barber Schools,2790,6
13,611512,Flight Training,1227,6
14,611513,Apprenticeship Training,432,6
15,611519,Other Technical and Trade Schools,8964,6
16,6116,Other Schools and Instruction,137272,4
17,611610,Fine Arts Schools,27749,6
18,611620,Sports and Recreation Instruction,44305,6
19,611630,Language Schools,2444,6
20,611691,Exam Preparation and Tutoring,8269,6
21,611692,Automobile Driving Schools,5457,6
22,611699,All Other Miscellaneous Schools and Instruction,49048,6
23,6117,Educational Support Services,10377,4
24,611710,Educational Support Services,10377,6
0,62,Health Care and Social Assistance,1683584,2
1,6211,Offices of Physicians,469577,4
2,621111,Offices of Physicians (except Mental Health Specialists),448866,6
3,621112,"Offices of Physicians, Mental Health Specialists",20711,6
4,6212,Offices of Dentists,208941,4
5,621210,Offices of Dentists,208941,6
6,6213,Offices of Other Health Practitioners,284215,4
7,621310,Offices of Chiropractors,65646,6
8,621320,Offices of Optometrists,31689,6
9,621330,Offices of Mental Health Practitioners (except Physicians),34545,6
10,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",37438,6
11,621391,Offices of Podiatrists,14643,6
12,621399,Offices of All Other Miscellaneous Health Practitioners,100254,6
13,6214,Outpatient Care Centers,70237,4
14,621410,Family Planning Centers,5193,6
15,621420,Outpatient Mental Health and Substance Abuse Centers,11733,6
16,621491,HMO Medical Centers,1190,6
17,621492,Kidney Dialysis Centers,9986,6
18,621493,Freestanding Ambulatory Surgical and Emergency Centers,3289,6
19,621498,All Other Outpatient Care Centers,38846,6
20,6215,Medical and Diagnostic Laboratories,17192,4
21,621511,Medical Laboratories,14026,6
22,621512,Diagnostic Imaging Centers,3166,6
23,6216,Home Health Care Services,49952,4
24,621610,Home Health Care Services,49952,6
25,6219,Other Ambulatory Health Care Services,152397,4
26,621910,Ambulance Services,6912,6
27,621991,Blood and Organ Banks,9650,6
28,621999,All Other Miscellaneous Ambulatory Health Care Services,135835,6
29,6221,General Medical and Surgical Hospitals,32458,4
30,622110,General Medical and Surgical Hospitals,32458,6
31,6222,Psychiatric and Substance Abuse Hospitals,4470,4
32,622210,Psychiatric and Substance Abuse Hospitals,4470,6
33,6223,Specialty (except Psychiatric and Substance Abuse) Hospitals,2649,4
34,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,2649,6
35,6231,Nursing Care Facilities (Skilled Nursing Facilities),35682,4
36,623110,Nursing Care Facilities (Skilled Nursing Facilities),35682,6
37,6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",8054,4
38,623210,Residential Intellectual and Developmental Disability Facilities,2077,6
39,623220,Residential Mental Health and Substance Abuse Facilities,5977,6
40,6233,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,19591,4
41,623311,Continuing Care Retirement Communities,11489,6
42,623312,Assisted Living Facilities for the Elderly,8102,6
43,6239,Other Residential Care Facilities,16329,4
44,623990,Other Residential Care Facilities,16329,6
45,6241,Individual and Family Services,179625,4
46,624110,Child and Youth Services,10913,6
47,624120,Services for the Elderly and Persons with Disabilities,21079,6
48,624190,Other Individual and Family Services,147633,6
49,6242,"Community Food and Housing, and Emergency and Other Relief Services",6902,4
50,624210,Community Food Services,1153,6
51,624221,Temporary Shelters,1927,6
52,624229,Other Community Housing Services,251,6
53,624230,Emergency and Other Relief Services,3571,6
54,6243,Vocational Rehabilitation Services,12800,4
55,624310,Vocational Rehabilitation Services,12800,6
56,6244,Child Day Care Services,112513,4
57,624410,Child Day Care Services,112513,6
0,71,"Arts, Entertainment, and Recreation",363300,2
1,7111,Performing Arts Companies,32857,4
2,711110,Theater Companies and Dinner Theaters,3537,6
3,711120,Dance Companies,180,6
4,711130,Musical Groups and Artists,9359,6
5,711190,Other Performing Arts Companies,19781,6
6,7112,Spectator Sports,25356,4
7,711211,Sports Teams and Clubs,6174,6
8,711212,Racetracks,4350,6
9,711219,Other Spectator Sports,14832,6
10,7113,"Promoters of Performing Arts, Sports, and Similar Events",10008,4
11,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",8176,6
12,711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",1832,6
13,7114,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",9014,4
14,711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",9014,6
15,7115,"Independent Artists, Writers, and Performers",50714,4
16,711510,"Independent Artists, Writers, and Performers",50714,6
17,7121,"Museums, Historical Sites, and Similar Institutions",40378,4
18,712110,Museums,24493,6
19,712120,Historical Sites,3361,6
20,712130,Zoos and Botanical Gardens,1803,6
21,712190,Nature Parks and Other Similar Institutions,10721,6
22,7131,Amusement Parks and Arcades,4760,4
23,713110,Amusement and Theme Parks,2418,6
24,713120,Amusement Arcades,2342,6
25,7132,Gambling Industries,1160,4
26,713210,Casinos (except Casino Hotels),621,6
27,713290,Other Gambling Industries,539,6
28,7139,Other Amusement and Recreation Industries,189053,4
29,713910,Golf Courses and Country Clubs,15816,6
30,713920,Skiing Facilities,327,6
31,713930,Marinas,7439,6
32,713940,Fitness and Recreational Sports Centers,134100,6
33,713950,Bowling Centers,5088,6
34,713990,All Other Amusement and Recreation Industries,26283,6
0,72,Accommodation and Food Services,901005,2
1,7211,Traveler Accommodation,117365,4
2,721110,Hotels (except Casino Hotels) and Motels,92841,6
3,721120,Casino Hotels,1789,6
4,721191,Bed-and-Breakfast Inns,17553,6
5,721199,All Other Traveler Accommodation,5182,6
6,7212,RV (Recreational Vehicle) Parks and Recreational Camps,15462,4
7,721211,RV (Recreational Vehicle) Parks and Campgrounds,10874,6
8,721214,Recreational and Vacation Camps (except Campgrounds),4588,6
9,7213,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",2539,4
10,721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",2539,6
11,7223,Special Food Services,37110,4
12,722310,Food Service Contractors,1833,6
13,722320,Caterers,30123,6
14,722330,Mobile Food Services,5154,6
15,7224,Drinking Places (Alcoholic Beverages),73722,4
16,722410,Drinking Places (Alcoholic Beverages),73722,6
17,7225,Restaurants and Other Eating Places,654807,4
18,722511,Full-Service Restaurants,364215,6
19,722513,Limited-Service Restaurants,286827,6
20,722514,"Cafeterias, Grill Buffets, and Buffets",2694,6
21,722515,Snack and Nonalcoholic Beverage Bars,1071,6
0,81,Other Services (except Public Administration),1879818,2
1,8111,Automotive Repair and Maintenance,309877,4
2,811111,General Automotive Repair,153425,6
3,811112,Automotive Exhaust System Repair,6304,6
4,811113,Automotive Transmission Repair,7681,6
5,811118,Other Automotive Mechanical and Electrical Repair and Maintenance,29784,6
6,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",50260,6
7,811122,Automotive Glass Replacement Shops,6627,6
8,811191,Automotive Oil Change and Lubrication Shops,6458,6
9,811192,Car Washes,32336,6
10,811198,All Other Automotive Repair and Maintenance,17002,6
11,8112,Electronic and Precision Equipment Repair and Maintenance,36556,4
12,811211,Consumer Electronics Repair and Maintenance,5422,6
13,811212,Computer and Office Machine Repair and Maintenance,13805,6
14,811213,Communication Equipment Repair and Maintenance,1237,6
15,811219,Other Electronic and Precision Equipment Repair and Maintenance,16092,6
16,8113,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,44172,4
17,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,44172,6
18,8114,Personal and Household Goods Repair and Maintenance,129861,4
19,811411,Home and Garden Equipment Repair and Maintenance,9410,6
20,811412,Appliance Repair and Maintenance,71774,6
21,811420,Reupholstery and Furniture Repair,11845,6
22,811430,Footwear and Leather Goods Repair,3394,6
23,811490,Other Personal and Household Goods Repair and Maintenance,33438,6
24,8121,Personal Care Services,385555,4
25,812111,Barber Shops,35769,6
26,812112,Beauty Salons,235695,6
27,812113,Nail Salons,59508,6
28,812191,Diet and Weight Reducing Centers,2610,6
29,812199,Other Personal Care Services,51973,6
30,8122,Death Care Services,35206,4
31,812210,Funeral Homes and Funeral Services,22581,6
32,812220,Cemeteries and Crematories,12625,6
33,8123,Drycleaning and Laundry Services,40373,4
34,812310,Coin-Operated Laundries and Drycleaners,12927,6
35,812320,Drycleaning and Laundry Services (except Coin-Operated),24386,6
36,812331,Linen Supply,1948,6
37,812332,Industrial Launderers,1112,6
38,8129,Other Personal Services,148548,4
39,812910,Pet Care (except Veterinary) Services,44609,6
40,812921,Photofinishing Laboratories (except One-Hour),4423,6
41,812922,One-Hour Photofinishing,0,6
42,812930,Parking Lots and Garages,6029,6
43,812990,All Other Personal Services,93487,6
44,8131,Religious Organizations,353937,4
45,813110,Religious Organizations,353937,6
46,8132,Grantmaking and Giving Services,8372,4
47,813211,Grantmaking Foundations,6783,6
48,813212,Voluntary Health Organizations,1133,6
49,813219,Other Grantmaking and Giving Services,456,6
50,8133,Social Advocacy Organizations,52546,4
51,813311,Human Rights Organizations,0,6
52,813312,"Environment, Conservation and Wildlife Organizations",3870,6
53,813319,Other Social Advocacy Organizations,48676,6
54,8134,Civic and Social Organizations,179147,4
55,813410,Civic and Social Organizations,179147,6
56,8139,"Business, Professional, Labor, Political, and Similar Organizations",155668,4
57,813910,Business Associations,33657,6
58,813920,Professional Organizations,32805,6
59,813930,Labor Unions and Similar Labor Organizations,16044,6
60,813940,Political Organizations,3231,6
61,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",69931,6
62,8141,Private Households,0,4
63,814110,Private Households,0,6
0,92,Public Administration,259799,2
1,9211,"Executive, Legislative, and Other General Government Support",77838,4
2,921110,Executive Offices,43026,6
3,921120,Legislative Bodies,9580,6
4,921130,Public Finance Activities,7524,6
5,921140,"Executive and Legislative Offices, Combined",354,6
6,921150,American Indian and Alaska Native Tribal Governments,1096,6
7,921190,Other General Government Support,16258,6
8,9221,"Justice, Public Order, and Safety Activities",86922,4
9,922110,Courts,16303,6
10,922120,Police Protection,20010,6
11,922130,Legal Counsel and Prosecution,4211,6
12,922140,Correctional Institutions,5361,6
13,922150,Parole Offices and Probation Offices,2018,6
14,922160,Fire Protection,35791,6
15,922190,"Other Justice, Public Order, and Safety Activities",3228,6
16,9231,Administration of Human Resource Programs,21613,4
17,923110,Administration of Education Programs,1964,6
18,923120,Administration of Public Health Programs,8355,6
19,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",9490,6
20,923140,Administration of Veterans' Affairs,1804,6
21,9241,Administration of Environmental Quality Programs,21807,4
22,924110,Administration of Air and Water Resource and Solid Waste Management Programs,6559,6
23,924120,Administration of Conservation Programs,15248,6
24,9251,"Administration of Housing Programs, Urban Planning, and Community Development",8717,4
25,925110,Administration of Housing Programs,6226,6
26,925120,Administration of Urban Planning and Community and Rural Development,2491,6
27,9261,Administration of Economic Programs,25292,4
28,926110,Administration of General Economic Programs,2597,6
29,926120,Regulation and Administration of Transportation Programs,11023,6
30,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities",1556,6
31,926140,Regulation of Agricultural Marketing and Commodities,6365,6
32,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors",3751,6
33,9271,Space Research and Technology,138,4
34,927110,Space Research and Technology,138,6
35,9281,National Security and International Affairs,17472,4
36,928110,National Security,15308,6
37,928120,International Affairs,2164,6
