,Codes,Titles,Total Marketable US Businesses,code_len
179,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",391,6
180,326140,Polystyrene Foam Product Manufacturing,62,6
181,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,1249,6
182,326160,Plastics Bottle Manufacturing,285,6
183,326191,Plastics Plumbing Fixture Manufacturing,328,6
184,326199,All Other Plastics Product Manufacturing,10094,6
185,3262,Rubber Product Manufacturing,3092,4
186,326211,Tire Manufacturing (except Retreading),495,6
187,326212,Tire Retreading,125,6
188,326220,Rubber and Plastics Hoses and Belting Manufacturing,366,6
189,326291,Rubber Product Manufacturing for Mechanical Use,253,6
190,326299,All Other Rubber Product Manufacturing,1853,6
191,3271,Clay Product and Refractory Manufacturing,2508,4
192,327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",1381,6
193,327120,Clay Building Material and Refractories Manufacturing,1127,6
194,3272,Glass and Glass Product Manufacturing,3878,4
195,327211,Flat Glass Manufacturing,679,6
196,327212,Other Pressed and Blown Glass and Glassware Manufacturing,1179,6
197,327213,Glass Container Manufacturing,273,6
198,327215,Glass Product Manufacturing Made of Purchased Glass,1747,6
199,3273,Cement and Concrete Product Manufacturing,10997,4
200,327310,Cement Manufacturing,540,6
201,327320,Ready-Mix Concrete Manufacturing,5512,6
202,327331,Concrete Block and Brick Manufacturing,829,6
203,327332,Concrete Pipe Manufacturing,181,6
204,327390,Other Concrete Product Manufacturing,3935,6
205,3274,Lime and Gypsum Product Manufacturing,1251,4
206,327410,Lime Manufacturing,226,6
207,327420,Gypsum Product Manufacturing,1025,6
208,3279,Other Nonmetallic Mineral Product Manufacturing,3914,4
209,327910,Abrasive Product Manufacturing,605,6
210,327991,Cut Stone and Stone Product Manufacturing,2188,6
211,327992,Ground or Treated Mineral and Earth Manufacturing,389,6
212,327993,Mineral Wool Manufacturing,293,6
213,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,439,6
214,3311,Iron and Steel Mills and Ferroalloy Manufacturing,2605,4
215,331110,Iron and Steel Mills and Ferroalloy Manufacturing,2605,6
216,3312,Steel Product Manufacturing from Purchased Steel,1699,4
217,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,630,6
218,331221,Rolled Steel Shape Manufacturing,577,6
219,331222,Steel Wire Drawing,492,6
220,3313,Alumina and Aluminum Production and Processing,1245,4
221,331313,Alumina Refining and Primary Aluminum Production,250,6
222,331314,Secondary Smelting and Alloying of Aluminum,70,6
223,331315,"Aluminum Sheet, Plate, and Foil Manufacturing",260,6
224,331318,"Other Aluminum Rolling, Drawing, and Extruding",665,6
225,3314,Nonferrous Metal (except Aluminum) Production and Processing,1945,4
226,331410,Nonferrous Metal (except Aluminum) Smelting and Refining,516,6
227,331420,"Copper Rolling, Drawing, Extruding, and Alloying",464,6
228,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",682,6
229,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",283,6
230,3315,Foundries,2735,4
231,331511,Iron Foundries,501,6
232,331512,Steel Investment Foundries,248,6
233,331513,Steel Foundries (except Investment),316,6
234,331523,Nonferrous Metal Die-Casting Foundries,439,6
235,331524,Aluminum Foundries (except Die-Casting),463,6
236,331529,Other Nonferrous Metal Foundries (except Die-Casting),768,6
237,3321,Forging and Stamping,4173,4
238,332111,Iron and Steel Forging,1057,6
239,332112,Nonferrous Forging,139,6
240,332114,Custom Roll Forming,35,6
241,332117,Powder Metallurgy Part Manufacturing,55,6
242,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",2887,6
243,3322,Cutlery and Handtool Manufacturing,3149,4
244,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",1301,6
245,332216,Saw Blade and Handtool Manufacturing,1848,6
246,3323,Architectural and Structural Metals Manufacturing,21869,4
247,332311,Prefabricated Metal Building and Component Manufacturing,1830,6
248,332312,Fabricated Structural Metal Manufacturing,7891,6
249,332313,Plate Work Manufacturing,1996,6
250,332321,Metal Window and Door Manufacturing,1989,6
251,332322,Sheet Metal Work Manufacturing,5573,6
252,332323,Ornamental and Architectural Metal Work Manufacturing,2590,6
253,3324,"Boiler, Tank, and Shipping Container Manufacturing",1405,4
254,332410,Power Boiler and Heat Exchanger Manufacturing,213,6
255,332420,Metal Tank (Heavy Gauge) Manufacturing,397,6
256,332431,Metal Can Manufacturing,453,6
257,332439,Other Metal Container Manufacturing,342,6
258,3325,Hardware Manufacturing,1897,4
259,332510,Hardware Manufacturing,1897,6
260,3326,Spring and Wire Product Manufacturing,2197,4
261,332613,Spring Manufacturing,489,6
262,332618,Other Fabricated Wire Product Manufacturing,1708,6
263,3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",20672,4
264,332710,Machine Shops,18698,6
265,332721,Precision Turned Product Manufacturing,1039,6
266,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",935,6
267,3328,"Coating, Engraving, Heat Treating, and Allied Activities",8199,4
268,332811,Metal Heat Treating,770,6
269,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",4336,6
270,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",3093,6
271,3329,Other Fabricated Metal Product Manufacturing,9439,4
272,332911,Industrial Valve Manufacturing,898,6
273,332912,Fluid Power Valve and Hose Fitting Manufacturing,443,6
274,332913,Plumbing Fixture Fitting and Trim Manufacturing,513,6
275,332919,Other Metal Valve and Pipe Fitting Manufacturing,702,6
276,332991,Ball and Roller Bearing Manufacturing,360,6
277,332992,Small Arms Ammunition Manufacturing,318,6
278,332993,Ammunition (except Small Arms) Manufacturing,130,6
279,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",1224,6
280,332996,Fabricated Pipe and Pipe Fitting Manufacturing,883,6
281,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,3968,6
282,3331,"Agriculture, Construction, and Mining Machinery Manufacturing",9687,4
283,333111,Farm Machinery and Equipment Manufacturing,2979,6
284,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,606,6
285,333120,Construction Machinery Manufacturing,3851,6
286,333131,Mining Machinery and Equipment Manufacturing,587,6
287,333132,Oil and Gas Field Machinery and Equipment Manufacturing,1664,6
288,3332,Industrial Machinery Manufacturing,6789,4
289,333241,Food Product Machinery Manufacturing,1367,6
290,333242,Semiconductor Machinery Manufacturing,262,6
291,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",1148,6
292,333244,Printing Machinery and Equipment Manufacturing,691,6
293,333249,Other Industrial Machinery Manufacturing,3321,6
294,3333,Commercial and Service Industry Machinery Manufacturing,7510,4
295,333314,Optical Instrument and Lens Manufacturing,1317,6
296,333316,Photographic and Photocopying Equipment Manufacturing,931,6
297,333318,Other Commercial and Service Industry Machinery Manufacturing,5262,6
298,3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",4681,4
299,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,1120,6
300,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,772,6
301,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,2789,6
302,3335,Metalworking Machinery Manufacturing,10602,4
303,333511,Industrial Mold Manufacturing,1198,6
304,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",3468,6
305,333515,Cutting Tool and Machine Tool Accessory Manufacturing,1921,6
306,333517,Machine Tool Manufacturing,3134,6
307,333519,Rolling Mill and Other Metalworking Machinery Manufacturing,881,6
308,3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",2337,4
309,333611,Turbine and Turbine Generator Set Units Manufacturing,674,6
310,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",292,6
311,333613,Mechanical Power Transmission Equipment Manufacturing,492,6
